"","pred","true","w","index"
"61",8.38998888888888,7.33333333333333,6,67
"62",7.74685555555557,7.33333333333333,6,68
"63",7.50428888888893,8.33333333333333,6,69
"64",7.91484444444445,8.66666666666667,6,70
"65",8.25973333333333,8.66666666666667,6,71
"66",8.25921111111112,8.33333333333333,6,72
"67",8.24811111111112,9,6,73
"68",8.53251111111111,9,6,74
"69",8.83023333333333,8.33333333333333,6,75
"70",8.5833888888889,7.66666666666667,6,76
"71",8.18444444444446,6.33333333333333,6,77
"72",7.42820000000002,9.33333333333333,6,78
"73",8.01244444444446,7.66666666666667,6,79
"74",7.89224444444446,8.33333333333333,6,80
"75",8.05314444444446,8.66666666666667,6,81
"76",8.2015888888889,6.66666666666667,6,82
"77",7.6205111111111,5.66666666666667,6,83
"78",6.6652222222222,5.66666666666667,6,84
"79",6.13965555555554,8.33333333333333,6,85
"80",7.1580888888889,7.33333333333333,6,86
"81",7.00597777777777,6.33333333333333,6,87
"82",6.37965555555557,6,6,88
"83",6.14303333333333,4.33333333333333,6,89
"84",6.01187777777779,4.33333333333333,6,90
"85",5.3453,8,6,91
"86",6.59647777777779,9,6,92
"87",7.92708888888889,8,6,93
"88",8.16008888888889,9,6,94
"89",8.4857,9,6,95
"90",8.65996666666667,9.33333333333333,6,96
"91",8.95900000000001,6.66666666666667,6,97
"92",7.8257222222222,6.66666666666667,6,98
"93",7.83235555555554,8.33333333333333,6,99
"94",8.31452222222222,6.66666666666667,6,100
"95",7.50586666666665,6.33333333333333,6,101
"96",7.02545555555555,7.66666666666667,6,102
"97",6.98927777777777,6,6,103
"98",6.64965555555555,3.66666666666667,6,104
"99",5.55823333333332,6,6,105
"100",5.73617777777777,5.66666666666667,6,106
"101",5.75499999999999,7.33333333333333,6,107
"102",6.46364444444443,8.33333333333333,6,108
"103",7.02990000000002,8,6,109
"104",7.34845555555555,2.33333333333333,6,110
"105",6.30437777777778,2.66666666666667,6,111
"106",4.45724444444445,1,6,112
"107",3.72027777777778,3.33333333333333,6,113
"108",6.15087777777778,7.66666666666667,6,114
"109",7.01247777777778,7.66666666666667,6,115
"110",6.68264444444441,6,6,116
"111",5.16874444444445,8.66666666666667,6,117
"112",6.79475555555556,6,6,118
"113",6.78031111111111,5.66666666666667,6,119
"114",6.6935111111111,8,6,120
"115",7.31432222222222,7.66666666666667,6,121
"116",6.73814444444444,5.66666666666667,6,122
"117",7.44891111111111,2.66666666666667,6,123
"118",5.68712222222221,5.66666666666667,6,124
"119",5.63876666666665,7.33333333333333,6,125
"120",5.92746666666666,6.33333333333333,6,126
"121",5.6995111111111,6,6,127
"122",5.77094444444444,7.33333333333333,6,128
"123",5.40648888888888,8.33333333333333,6,129
"124",7.33820000000002,7.66666666666667,6,130
"125",7.45251111111111,8,6,131
"126",7.49517777777779,8.33333333333333,6,132
"127",7.73214444444444,7.33333333333333,6,133
"128",7.66825555555559,3.33333333333333,6,134
"129",6.78652222222224,7.33333333333333,6,135
"130",7.3073888888889,7.66666666666667,6,136
"131",7.11344444444445,7.33333333333333,6,137
"132",7.23863333333334,7.66666666666667,6,138
"133",7.39277777777778,6,6,139
"134",6.89993333333333,6.66666666666667,6,140
"135",6.58933333333332,8,6,141
"136",7.35635555555554,8.33333333333333,6,142
"137",7.82456666666667,7.66666666666667,6,143
"138",7.85826666666667,9,6,144
"139",8.10596666666667,8.33333333333333,6,145
"140",8.27785555555556,8,6,146
"141",8.28181111111111,8.33333333333333,6,147
"142",8.33276666666668,8.33333333333333,6,148
"143",8.34856666666668,7,6,149
"144",7.41705555555556,7.33333333333333,6,150
"145",7.31643333333335,8,6,151
"146",7.56292222222223,6,6,152
"147",6.87171111111112,6,6,153
"148",6.26034444444444,6.33333333333333,6,154
"149",6.40251111111111,8.66666666666667,6,155
"150",7.47896666666666,8.33333333333333,6,156
"151",7.67445555555556,8,6,157
"152",7.34255555555556,8,6,158
"153",7.51197777777779,5.33333333333333,6,159
"154",6.5181777777778,6.66666666666667,6,160
"155",6.19968888888889,8,6,161
"156",7.02184444444445,8.33333333333333,6,162
"157",7.6182888888889,6.66666666666667,6,163
"158",7.17895555555556,8.66666666666667,6,164
"159",7.77983333333332,8.66666666666667,6,165
"160",8.27977777777775,8,6,166
"161",8.0676222222222,8.33333333333333,6,167
"162",8.14653333333333,8.66666666666667,6,168
"163",8.35047777777776,9,6,169
"164",8.74917777777777,5.66666666666667,6,170
"165",7.34404444444442,7.33333333333333,6,171
"166",7.44635555555556,8,6,172
"167",7.78364444444445,7.33333333333333,6,173
"168",7.36127777777779,8,6,174
"169",7.52905555555555,7.66666666666667,6,175
"170",7.47715555555554,8.33333333333333,6,176
"171",7.93702222222223,8.33333333333333,6,177
"172",6.48924126984128,8.33333333333333,7,8
"173",7.32140000000002,8,7,9
"174",6.58625714285715,8,7,10
"175",7.48022222222222,8,7,11
"176",7.87818095238095,8,7,12
"177",8.03653809523809,8.33333333333333,7,13
"178",8.10212380952382,5,7,14
"179",6.67335555555556,7,7,15
"180",6.8142873015873,8,7,16
"181",6.92439841269842,8.33333333333333,7,17
"182",7.35041587301588,8.66666666666667,7,18
"183",7.92950317460317,9.33333333333333,7,19
"184",8.38825396825397,7.33333333333333,7,20
"185",7.84720000000001,4,7,21
"186",6.01903333333334,4.33333333333333,7,22
"187",5.97108412698413,4.66666666666667,7,23
"188",6.36494603174603,8.33333333333333,7,24
"189",7.44907301587303,7.66666666666667,7,25
"190",8.14895555555555,7.33333333333333,7,26
"191",7.32256666666667,7.33333333333333,7,27
"192",7.41902222222222,7.66666666666667,7,28
"193",7.54459999999999,8.33333333333333,7,29
"194",7.51790000000001,9,7,30
"195",8.35785714285714,8.66666666666667,7,31
"196",8.57099999999999,8.66666666666667,7,32
"197",8.63982222222222,8.66666666666667,7,33
"198",8.50603333333332,8.66666666666667,7,34
"199",8.31384444444442,8.66666666666667,7,35
"200",8.64680158730156,7.66666666666667,7,36
"201",8.31713174603171,8.33333333333333,7,37
"202",8.39111904761904,8.66666666666667,7,38
"203",8.51823015873014,8.33333333333333,7,39
"204",8.44362063492064,8.66666666666667,7,40
"205",8.48904603174603,8.33333333333333,7,41
"206",8.34979523809523,8.66666666666667,7,42
"207",8.30932222222219,10,7,43
"208",8.54420158730158,5.66666666666667,7,44
"209",6.65675555555553,7,7,45
"210",6.90052857142858,7.66666666666667,7,46
