,recorded_naive,duration,genre
80,2021-10-26 16:10:40.895572064,2.520767903676401,NEWS_MAGAZINES
81,2021-10-26 16:36:39.390767903,2.692765162408457,NA
82,2021-10-26 16:41:52.160765162,6.353819454786666,NA
83,2021-10-26 16:57:36.661819455,1.3157527520562502,SOCIAL
84,2021-10-26 16:57:35.618752752,7.332474701270515,TOOLS
85,2021-10-26 18:15:14.027474701,4.768133878791941,SOCIAL
86,2021-10-26 18:21:53.840133879,11.293479476526144,NA
87,2021-10-26 19:08:00.278479477,2.9301403181192045,SOCIAL
88,2021-10-26 19:08:02.916140318,4.557247325103629,TOOLS
89,2021-10-26 19:52:02.835247325,1.2135762058263062,COMMUNICATION
90,2021-10-26 19:52:03.496576206,9.060118763817744,NA
91,2021-10-26 19:53:04.659118764,14.289433748778615,COMMUNICATION
92,2021-10-26 20:05:27.764433749,7.81900376050711,COMMUNICATION
93,2021-10-26 21:02:16.718003761,3.750812945719966,COMMUNICATION
94,2021-10-26 21:21:24.887812946,4.6765677938170604,NA
95,2021-10-26 21:21:28.839567794,9.047111619857441,SOCIAL
96,2021-10-26 21:38:51.425111620,4.316078929924272,SHOPPING
97,2021-10-26 21:38:54.692078930,8.905024116932676,COMICS
98,2021-10-26 21:43:49.249024117,7.53627101490408,NA
99,2021-10-26 21:48:49.473271014,6.451128312708635,COMMUNICATION
100,2021-10-26 21:53:18.374128313,6.539757694105591,COMMUNICATION
101,2021-10-26 22:09:09.013757694,5.470895212341103,COMMUNICATION
102,2021-10-26 22:55:17.243895212,1.8012757352640634,SOCIAL
103,2021-10-26 22:55:18.437275735,1.5576055076096393,COMMUNICATION
104,2021-10-26 23:05:41.914605508,16.45603518787024,COMMUNICATION
105,2021-10-27 07:35:05.424035188,1.658920658126506,SOCIAL
106,2021-10-27 07:35:05.641920658,28.878940862973565,COMMUNICATION
107,2021-10-27 07:35:34.080940863,11.253364719851787,NA
108,2021-10-27 07:42:50.979364720,2.51553142906398,PRODUCTIVITY
109,2021-10-27 07:42:51.267531429,6.19674158772771,SOCIAL
110,2021-10-27 07:44:55.070741588,7.930564624436493,NEWS_MAGAZINES
111,2021-10-27 07:51:26.930564624,7.376538222393367,COMMUNICATION
112,2021-10-27 08:05:35.309538222,6.929496420305922,TOOLS
113,2021-10-27 08:55:16.907496420,1.9253974832294594,TRAVEL_LOCAL
114,2021-10-27 08:55:17.879397483,5.326320809616855,TOOLS
115,2021-10-27 08:56:05.688320810,7.677107705798762,MUSIC_AUDIO
116,2021-10-27 08:59:22.075107706,6.372747836023174,TRAVEL_LOCAL
117,2021-10-27 10:14:31.872747836,5.66063095476822,TOOLS
118,2021-10-27 10:59:37.600630955,1.483054323121174,MUSIC_AUDIO
119,2021-10-27 10:59:38.433054323,6.590592752505604,NA
120,2021-10-27 11:59:41.083592753,3.751156648809233,TOOLS
121,2021-10-27 11:59:42.914156649,4.906235774305735,COMMUNICATION
122,2021-10-27 11:59:45.089235774,8.806380983423391,NA
123,2021-10-27 12:32:54.430380983,1.8625552898719917,SOCIAL
124,2021-10-27 12:32:55.506555290,6.290418520397145,NA
125,2021-10-27 12:33:00.957418520,10.071070892293802,SOCIAL
126,2021-10-27 12:39:32.474070892,6.342102716230593,COMMUNICATION
127,2021-10-27 12:43:24.186102716,2.2214677839555756,COMMUNICATION
128,2021-10-27 12:54:14.426467784,0.8661938557940401,TOOLS
129,2021-10-27 12:54:15.048193856,7.649598264993964,SOCIAL
130,2021-10-27 13:02:28.520598265,3.243221414633291,COMMUNICATION
131,2021-10-27 13:02:29.129221415,4.600754675756038,MUSIC_AUDIO
132,2021-10-27 14:08:30.305754676,35.76802361109921,SOCIAL
133,2021-10-27 14:10:44.262023611,1.4745595337730866,SOCIAL
134,2021-10-27 14:34:25.403559534,1.254616709907404,NEWS_MAGAZINES
135,2021-10-27 14:39:25.294616710,6.822161561462384,NA
136,2021-10-27 15:06:00.644161561,1.3283954205624613,NA
137,2021-10-27 15:05:59.160395421,4.352600224931194,COMMUNICATION
138,2021-10-27 15:06:03.209600225,2.267869907613156,SOCIAL
139,2021-10-27 15:20:36.177869908,24.563597525855457,PRODUCTIVITY
140,2021-10-27 16:09:35.968597526,1.36045097430898,PRODUCTIVITY
141,2021-10-27 16:09:36.768450974,2.474643649129766,COMMUNICATION
142,2021-10-27 16:09:38.896643649,7.136371699572762,SOCIAL
143,2021-10-27 16:18:27.000371700,18.652395538528825,COMMUNICATION
144,2021-10-27 16:34:05.521395539,5.458459295401182,COMICS
145,2021-10-27 17:10:11.416459295,3.0958905939353216,TOOLS
146,2021-10-27 17:10:13.676890594,73.3194373269475,NA
147,2021-10-27 17:22:02.907437327,3.8390450761881834,NA
148,2021-10-27 17:22:05.445045076,4.238412660592975,MUSIC_AUDIO
149,2021-10-27 17:28:03.198412661,5.789547151028328,SOCIAL
150,2021-10-27 17:32:06.926547151,4.1697379364740375,FOOD_DRINK
151,2021-10-27 17:32:10.356737936,22.780803833961322,NEWS_MAGAZINES
152,2021-10-27 18:39:56.527803834,4.2859012753394365,NA
153,2021-10-27 18:41:34.690901275,6.228183253524852,NA
154,2021-10-27 18:53:57.540183254,0.4728376222970714,NEWS_MAGAZINES
155,2021-10-27 18:53:58.767837622,5.443768652553789,TOOLS
156,2021-10-27 18:54:03.768768653,1.872722724099141,NA
157,2021-10-27 19:21:03.595722724,3.0387490129535295,NA
158,2021-10-27 19:21:05.777749013,4.33469365431001,SOCIAL
159,2021-10-27 19:21:08.103693654,4.234864428067901,TOOLS
160,2021-10-27 19:57:57.799864428,11.765036409778949,NA
161,2021-10-27 19:58:06.343036410,4.97076753017707,NA
162,2021-10-27 19:58:00.582767530,4.207556902091003,NA
163,2021-10-27 20:32:16.730556902,1.2281326950425553,NA
164,2021-10-27 20:32:14.770132695,7.070812374921164,NA
165,2021-10-27 21:26:27.727812375,4.69896026443333,NEWS_MAGAZINES
166,2021-10-27 21:26:30.350960264,8.548533183267658,TOOLS
167,2021-10-27 21:51:55.957533183,1.3998875325089923,COMMUNICATION
168,2021-10-27 21:51:52.814887533,6.143343911515047,TRAVEL_LOCAL
169,2021-10-27 21:59:21.160343912,6.135036014520681,COMICS
170,2021-10-27 22:07:30.678036015,1.5647401248588289,NA
171,2021-10-27 22:15:52.419740125,4.74067222720762,TOOLS
172,2021-10-27 22:52:07.302672227,1.738671362441246,COMMUNICATION
173,2021-10-27 22:52:08.312671362,6.134640080494633,NA
174,2021-10-27 22:53:05.083640080,7.5893489143989346,TOOLS
175,2021-10-28 14:38:48.897348914,2.085173546839938,NA
176,2021-10-28 14:38:49.413173547,3.2514018468997907,COMMUNICATION
177,2021-10-28 14:38:51.615401847,10.410509290165072,COMMUNICATION
178,2021-10-28 14:39:44.209509290,5.079463267937462,SOCIAL
179,2021-10-28 14:39:48.226463268,3.616703982094964,COMMUNICATION
180,2021-10-28 14:39:47.787703982,13.915102473540355,COMMUNICATION
181,2021-10-28 15:02:51.998102474,15.13775336428545,NA
182,2021-10-28 15:08:03.202753364,7.479265181132366,PRODUCTIVITY
183,2021-10-28 15:08:14.729265181,6.779563666329995,NA
184,2021-10-28 15:10:00.507563666,6.934460547725123,COMMUNICATION
185,2021-10-28 15:13:32.839460548,42.618858539637145,SOCIAL
186,2021-10-28 15:16:53.229858540,16.900142767112193,COMMUNICATION
